# ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#           t                bm_masse_c       bm_masse_actuelle   latency_alumina_mass  dissolving_alumina_mass  bath_thermal_energy_shift    mean_temperature   variance_temperature  variance_concentration_pct  variance_concentration  average_concentration_pct  average_concentration 
# ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    6.768000000000e+03   2.377672746429e+02   2.390495236847e+02    1.086592562445e+00     1.956564794086e-01        1.690132340607e+06      1.223075059229e+03    2.378242535412e+01       1.498731697497e-01        7.334439875690e+01       3.064908480164e+00       6.623695659654e+01  
    6.769000000000e+03   2.378874666983e+02   2.389962428639e+02    0.000000000000e+00     1.108776165539e+00        1.682402642529e+06      1.223074715951e+03    2.381392188007e+01       1.520494822016e-01        7.464416479156e+01       3.066206344700e+00       6.627043957259e+01  
    6.770000000000e+03   2.379743447108e+02   2.389429620430e+02    0.000000000000e+00     9.686173322824e-01        1.692329386448e+06      1.223075156801e+03    2.381600988464e+01       1.543347315310e-01        7.581386439351e+01       3.067325438206e+00       6.629464195765e+01  
    6.771000000000e+03   2.380378958615e+02   2.388896812222e+02    0.000000000000e+00     8.517853606620e-01        1.714619366104e+06      1.223076146705e+03    2.379785750787e+01       1.562549741766e-01        7.678863975753e+01       3.068147960703e+00       6.631234597021e+01  
    6.772000000000e+03   2.380839094904e+02   2.388364004014e+02    0.000000000000e+00     7.524909109701e-01        1.746204232642e+06      1.223077549397e+03    2.376469908359e+01       1.578043620000e-01        7.756694638981e+01       3.068747293491e+00       6.632516439841e+01  
    6.773000000000e+03   2.381161634741e+02   2.387831195805e+02    0.000000000000e+00     6.669561064558e-01        1.785081711787e+06      1.223079275956e+03    2.371995574345e+01       1.590124139574e-01        7.816635124394e+01       3.069171347029e+00       6.633414967916e+01  
    6.774000000000e+03   2.381372873683e+02   2.387298387597e+02    0.000000000000e+00     5.925513913836e-01        1.829858137575e+06      1.223081264489e+03    2.366601238117e+01       1.599177506493e-01        7.860874926875e+01       3.069453480719e+00       6.634003435134e+01  
    6.775000000000e+03   2.381491992068e+02   2.386765579388e+02    0.000000000000e+00     5.273587319679e-01        1.879516952526e+06      1.223083469851e+03    2.360460565864e+01       1.605586068697e-01        7.891529680051e+01       3.069618042463e+00       6.634335273875e+01  
    6.776000000000e+03   2.381533508411e+02   2.386232771180e+02    0.000000000000e+00     4.699262768781e-01        1.933288674883e+06      1.223085857867e+03    2.353704433903e+01       1.609696552399e-01        7.910485341708e+01       3.069683470815e+00       6.634450929665e+01  
    6.777000000000e+03   2.381508750213e+02   2.385699962972e+02    0.000000000000e+00     4.191212759026e-01        1.990572949869e+06      1.223088401877e+03    2.346434343804e+01       1.611812619710e-01        7.919370411001e+01       3.069664166194e+00       6.634381958537e+01  
    6.778000000000e+03   2.381426779768e+02   2.385167154763e+02    0.000000000000e+00     3.740374994732e-01        2.050889472276e+06      1.223091080550e+03    2.338730982381e+01       1.612196381332e-01        7.919573654633e+01       3.069571661315e+00       6.634153606138e+01  
    6.779000000000e+03   2.381295000272e+02   2.384634346555e+02    0.000000000000e+00     3.339346282313e-01        2.113845874224e+06      1.223093876461e+03    2.330659882811e+01       1.611072954261e-01        7.912275115009e+01       3.069415383068e+00       6.633786496208e+01  
    6.780000000000e+03   2.381119565951e+02   2.384101538346e+02    0.000000000000e+00     2.981972394939e-01        2.179115983651e+06      1.223096775124e+03    2.322275279760e+01       1.608635706726e-01        7.898478530708e+01       3.069203174436e+00       6.633297773127e+01  
    6.781000000000e+03   2.380905667643e+02   2.383568730138e+02    0.000000000000e+00     2.663062495138e-01        2.246424686712e+06      1.223099764321e+03    2.313622800464e+01       1.605051288932e-01        7.879040758454e+01       3.068941657567e+00       6.632701897475e+01  
    6.782000000000e+03   2.380657736754e+02   2.383035921930e+02    0.000000000000e+00     2.378185175434e-01        2.315537113962e+06      1.223102833622e+03    2.304741383974e+01       1.600463929085e-01        7.854696981081e+01       3.068636489042e+00       6.632011214220e+01  
    6.783000000000e+03   2.380379594324e+02   2.382503113721e+02    0.000000000000e+00     2.123519397537e-01        2.386250751949e+06      1.223105974034e+03    2.295664676023e+01       1.594999092598e-01        7.826081622044e+01       3.068292549726e+00       6.631236367971e+01  
    6.784000000000e+03   2.380074562300e+02   2.391749638575e+02    9.779333062002e-01     1.895743212674e-01        1.460897569302e+06      1.223064878852e+03    2.411178206595e+01       1.588766522423e-01        7.793745471362e+01       3.067914085653e+00       6.630386612977e+01  
    6.785000000000e+03   2.381107854933e+02   2.391216830366e+02    0.000000000000e+00     1.010897543327e+00        1.462105149506e+06      1.223064932481e+03    2.410931621273e+01       1.603948641666e-01        7.884121600018e+01       3.069031653790e+00       6.633265148695e+01  
    6.786000000000e+03   2.381874944314e+02   2.390684022158e+02    0.000000000000e+00     8.809077843643e-01        1.477421502237e+06      1.223065612684e+03    2.408766492701e+01       1.619040476729e-01        7.959025230708e+01       3.070026407544e+00       6.635402098203e+01  
    6.787000000000e+03   2.382442343919e+02   2.390151213950e+02    0.000000000000e+00     7.708870030439e-01        1.503321411953e+06      1.223066762906e+03    2.405156830142e+01       1.630867824798e-01        8.017041174971e+01       3.070766098213e+00       6.636982754038e+01  
    6.788000000000e+03   2.382852907355e+02   2.389618405741e+02    0.000000000000e+00     6.765498386156e-01        1.537533639463e+06      1.223068282280e+03    2.400412618543e+01       1.639604595933e-01        8.059149877900e+01       3.071305332615e+00       6.638126497327e+01  
    6.789000000000e+03   2.383136509748e+02   2.389085597533e+02    0.000000000000e+00     5.949087785554e-01        1.578474802743e+06      1.223070100488e+03    2.394754332704e+01       1.645556673662e-01        8.087046843129e+01       3.071682187978e+00       6.638916553881e+01  
